Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S100: ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ4KzLdrJGM29xH8 Path: Analisi-1:plc4j/drivers/bacnet/src/main/java/org/apache/plc4x/java/bacnetip/readwrite/utils/StaticHelper.java - startLine: 669,
To-Do,New,Normal,"java:S100: ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ8ezLdrJGM29xZ_ Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 1374,
To-Do,New,Normal,"java:S100: ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ8ezLdrJGM29xaC Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 1394,
To-Do,New,Normal,"java:S100: ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ8ezLdrJGM29xaD Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 1410,
To-Do,New,Normal,"java:S100: ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ8ezLdrJGM29xY4 Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 600,
To-Do,New,Normal,"java:S100: ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ8ezLdrJGM29xY5 Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 624,
To-Do,New,Normal,"java:S100: ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ8ezLdrJGM29xY6 Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 643,
To-Do,New,Normal,"java:S100: ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ8ezLdrJGM29xY8 Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 700,
To-Do,New,Normal,"java:S100: ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ8ezLdrJGM29xY_ Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 765,
To-Do,New,Normal,"java:S100: ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ8ezLdrJGM29xZA Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 804,
To-Do,New,Normal,"java:S100: ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ8ezLdrJGM29xZG Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 934,
To-Do,New,Normal,"java:S100: ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ8ezLdrJGM29xZJ Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 963,
To-Do,New,Normal,"java:S100: ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ8ezLdrJGM29xZL Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 969,
To-Do,New,Normal,"java:S100: ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ8ezLdrJGM29xZN Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 975,
To-Do,New,Normal,"java:S100: ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ8ezLdrJGM29xZP Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 981,
To-Do,New,Normal,"java:S100: ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ8ezLdrJGM29xZQ Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 1019,
To-Do,New,Normal,"java:S100: ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ8ezLdrJGM29xZS Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 1025,
To-Do,New,Normal,"java:S100: ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ8ezLdrJGM29xZU Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 1031,
To-Do,New,Normal,"java:S100: ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ8ezLdrJGM29xZW Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 1037,
To-Do,New,Normal,"java:S100: ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ8ezLdrJGM29xZY Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 1043,
To-Do,New,Normal,"java:S100: ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ8ezLdrJGM29xZa Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 1049,
To-Do,New,Normal,"java:S100: ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ8ezLdrJGM29xZc Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 1055,
To-Do,New,Normal,"java:S100: ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ8ezLdrJGM29xZe Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 1061,
To-Do,New,Normal,"java:S100: ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ8ezLdrJGM29xZg Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 1067,
To-Do,New,Normal,"java:S100: ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ8ezLdrJGM29xZh Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/utils/StaticHelper.java - startLine: 1095,
